,loss,acc,val-loss,val-acc
0,0.717939003109932,0.5706250071525574,1.6378185455615704,0.4835384488105774
1,0.5968929925560951,0.6759374737739563,0.688701240832989,0.6779999732971191
2,0.45650970250368117,0.7754687666893005,0.5587789847300603,0.717846155166626
3,0.40345830500125884,0.8162500262260437,0.5028411457171806,0.7766153812408447
4,0.3399026298522949,0.8467187285423279,0.46462302253796506,0.7955384850502014
5,0.3293160584568977,0.8578125238418579,0.4715157192486983,0.8086153864860535
6,0.2746663944423199,0.8849999904632568,0.49993107456427355,0.7924615144729614
7,0.2753943084180355,0.8860937356948853,0.5898408628427065,0.7906153798103333
8,0.2645070581138134,0.8924999833106995,0.6233880932514484,0.7798461318016052
9,0.20773277088999748,0.9164062738418579,0.5834048748016357,0.7689231038093567
10,0.20215418495237827,0.921093761920929,0.6987686812877655,0.7426154017448425
11,0.19337745316326618,0.9256250262260437,0.6200612159875724,0.7966153621673584
12,0.16730520740151406,0.9318749904632568,0.6653584879178267,0.7816923260688782
13,0.17437233213335276,0.9334375262260437,0.671421967790677,0.7826153635978699
14,0.1661706743389368,0.9360937476158142,0.7295459197117732,0.797076940536499
